yellow x,yellow y,blue x,blue y
-2.924122161464313,5.474831974545767,3.005535062923135,5.568523158458373
-2.9968310647952485,8.494352982346133,2.948180187582155,8.666425646107127
-3.0680403329310733,11.579260015714416,2.8858686379265683,11.65238912412706
-3.0378808321609334,14.745856093181,2.9103374258771195,14.529978533939188
-2.880595974546497,17.797249518517052,3.062831230667761,17.462221889243544
-2.7248449498039284,20.774393798909472,3.2236632343012426,20.538143907861127
-2.696619104391252,23.60398397805498,3.25451630269788,23.69919379845576
-2.8924365188965204,26.25778513983592,3.003304835209326,27.01271664077267
-3.4223648914733693,28.813354432353734,2.3322537621808754,30.334217058002146
-4.231010147784713,31.40802900018471,1.3831181487832673,33.40999559999437
-5.22340587763901,33.8713149142954,0.17267904951547558,36.406927684268425
-6.457675582729432,36.26151562029003,-1.3701559600721227,39.37358752092164
-7.872542223969563,38.29697429586069,-3.4884275735055956,42.32903577001609
-9.522286385325634,39.620340706842725,-6.459054390483145,44.72207166787259
-11.797454517456083,40.71038321557891,-9.459807345449311,46.196745966740046
-14.555134336462977,41.96577602029262,-12.036295914700313,47.37341093036607
-16.941352532544926,42.91842331790166,-15.233852921753746,48.647526752669755
-19.916251964854215,43.89229059970055,-18.013321060766273,49.539527766746495
-23.185314226028655,45.44555463712334,-20.16772065646519,50.560125526773604
-25.974524963764484,47.41054501990543,-22.25989368107095,52.038771300803454
-28.5443589039484,49.905965556714,-24.004696086729144,53.76677252201733
-30.67791704405185,52.88634592831678,-25.42156745421713,55.736888344705505
-32.14213715311479,55.78238553771861,-26.685569988141403,58.235343517233
-33.41729619355421,58.35824790589547,-28.083366259021492,61.035243606892365
-34.771833769123965,60.432089044361426,-29.969399140937426,63.920662242274844
-36.42955979635274,62.456260420562884,-31.87976676874727,66.27942058769966
-38.15105354490329,64.14527803276737,-34.47757739926996,68.8305613363856
-40.0081194928676,65.19355799487333,-37.95405774320328,70.81386505234757
-42.38630104197263,65.87398860597797,-41.41069357454388,71.74554741094288
-44.64454384931025,65.99145761013108,-45.13816029579277,71.92417207315837
-46.577247804909966,65.51450082068533,-48.99198387748978,71.0501790719132
-48.77496594011961,64.42884640640106,-52.08867704925601,69.42879804116639
-50.65117683525064,62.98815025454588,-54.88031973576284,67.24332368743431
-51.89782015462159,61.43421210438029,-57.2323348583159,64.12831812734734
-52.372397692418396,59.62826874975385,-58.31559056629205,60.27173689297923
-52.41278243161537,57.218347968415486,-58.32783152206654,56.718932152326055
-52.058313886195364,54.69181176782683,-57.90993715834668,53.38654675767329
-51.45778859148981,52.20478726900581,-57.18071810251475,50.24862987309707
-50.649956516595985,49.745129108758384,-56.050609719939914,47.098448200514696
-49.44576542157123,47.49890864719044,-54.323583496783066,44.03879351611277
-47.7915142407237,45.31136438320794,-52.3242778132791,41.45179096508398
-45.91979764168658,43.2470905220178,-50.237527061898,39.130997900923674
-43.916841969133415,41.122422862762356,-48.141361528690524,36.90499048054719
-41.842899963728314,38.92039721878049,-46.06755739062421,34.718329555542574
-39.73201606548475,36.68847173414879,-44.0233103196956,32.56174539895428
-37.64554850626957,34.42470054166665,-42.04421744119187,30.415784335171647
-35.678154735331745,32.38332715102896,-39.86732874858977,28.154452127847996
-33.599400766775176,30.398193356113794,-37.68335928014227,26.06816625027644
-31.421717351804954,28.36742479656518,-35.48782007637917,24.02031251687392
-29.18060997811448,26.22807016640429,-33.32437035366217,21.95346443962657
-26.967172204767024,23.97136362113698,-31.28914778831154,19.875596541905978
-24.84964532536004,21.530197758861103,-29.473162829106432,17.788964248270055
-22.87571371097686,18.738302062730263,-27.97273259383999,15.667405274784882
-21.346963463039977,15.75354578858049,-26.786725345600313,13.331654842309367
-20.155168914819726,12.638055356322445,-25.856050098413863,10.899548564963792
-19.376263388592342,9.26301210800613,-25.281416273155653,8.45394885522833
-19.230938489847517,5.741217857207543,-25.187026338115555,6.169502741000692
-19.906456751273815,2.122711699198819,-25.581495607163145,3.9182478266405263
-21.6820316366511,-1.519613415006192,-26.41902800496489,2.1629188860921227
-24.177085531112034,-4.117212934113986,-28.047274432737538,0.4401933870742621
-26.64430163394993,-6.1627734005434,-30.185896933418576,-1.3133163771067964
-29.015173049052958,-8.01731955484057,-32.525567876154,-3.1523551453185448
-31.203577453757337,-9.812944520399975,-34.964434790172,-5.165983074572684
-33.08394263694618,-11.601030636475368,-37.37559832493636,-7.489528616348625
-34.26154138010644,-13.252796816526109,-39.64694250440581,-10.777946901848635
-34.68280602941386,-15.20125492867979,-40.578822577933934,-14.603277530618481
-34.618782720095986,-17.535352207975507,-40.549395060838364,-18.179508626824333
-34.181226908538754,-20.008496257394714,-40.01639487237758,-21.56463056749476
-33.44584252736136,-22.442311685175046,-38.96025904210278,-24.91409041645061
-32.41512130158845,-24.571962203052472,-37.2071977977567,-28.128024016894987
-31.20310371619016,-25.704668863772945,-34.043448757231054,-30.91720739063134
-29.23585622299331,-26.34563045947097,-30.40981348627763,-32.158669733304556
-26.796920157590083,-26.600487198007087,-26.985828163068454,-32.58383781904424
-24.205342766946504,-26.583545972041346,-23.658625736047167,-32.57256507938187
-21.597121045717735,-26.349749753799294,-20.367032268938747,-32.246800086595954
-19.319922408195477,-25.79538462725317,-16.94594908066345,-31.30215752552753
-17.126730251289,-24.690168302835556,-13.96998948775729,-29.74912396325854
-14.99710458543752,-23.19241255225328,-11.384093428244867,-27.93927576587111
-12.906083729879564,-21.50537933101611,-8.971885194918787,-26.008674221570207
-10.70212674493756,-19.582463922846934,-6.572071341419505,-23.884080150290252
-8.663121829454992,-17.567660830749514,-4.195735894747276,-21.506082740017145
-7.0149068898430675,-15.474495280057683,-2.045287985669723,-18.752312581583325
-5.780564266178102,-13.250260512381018,-0.35730822801260975,-15.723259765299735
-5.063060631182071,-11.714460405595586,0.8340153863543044,-12.551726415706806
-4.2771102873351765,-8.73073150472174,1.5726568333435322,-9.90393032223378
-3.8346792210089813,-6.067386289501288,2.089775882497604,-6.80599972652759
-3.47679189173267,-3.2038843511740045,2.4622256515614476,-3.690225961253297
-3.2157374079424277,-0.2218232472492164,2.7310405566439977,-0.6407891101391829
-3.028354208888538,2.7318785505520444,2.9435422878430857,2.544253779561373
