time,desired_speed,car_speed,throttle
0.010904299999999978,7.0,0.0,1.0
0.02169130000000008,7.0,0.0,1.0
0.03239009999999998,7.0,0.0,1.0
0.04307299999999992,7.0,-5.941604968029424e-07,1.0
0.053832300000000055,7.0,-5.9118243370903656e-05,1.0
0.06448509999999996,7.0,-5.9118243370903656e-05,1.0
0.07530170000000003,7.0,-0.00012470674118958414,1.0
0.08623669999999994,7.0,-0.0011194011894986033,1.0
0.09696529999999992,7.0,-0.0011194011894986033,1.0
0.10775620000000008,7.0,-0.0001506710977992043,1.0
0.11837059999999999,7.0,-0.00041593657806515694,1.0
0.12910899999999992,7.0,-0.00041593657806515694,1.0
0.13991909999999996,7.0,0.17756859958171844,1.0
0.15053910000000004,7.0,0.17756859958171844,1.0
0.16127749999999996,7.0,0.3406239151954651,1.0
0.1721128999999999,7.0,0.5019935965538025,1.0
0.18276150000000002,7.0,0.5019935965538025,1.0
0.19348349999999992,7.0,0.6622187495231628,1.0
0.20433330000000005,7.0,0.8225768208503723,1.0
0.21497429999999995,7.0,0.8225768208503723,1.0
0.22574260000000002,7.0,0.9838025569915771,1.0
0.2365081,7.0,1.1441258192062378,1.0
0.24718890000000004,7.0,1.1441258192062378,1.0
0.25797899999999996,7.0,1.3040776252746582,1.0
0.2685911999999999,7.0,1.463592767715454,1.0
0.27941419999999995,7.0,1.463592767715454,1.0
0.29016890000000006,7.0,1.6226049661636353,1.0
0.3008139999999999,7.0,1.6226049661636353,1.0
0.3116185,7.0,1.7810674905776978,1.0
0.32238750000000005,7.0,1.9389485120773315,1.0
0.3330044999999999,7.0,1.9389485120773315,1.0
0.3437760000000001,7.0,2.0962233543395996,1.0
0.3546754000000001,7.0,2.252872943878174,1.0
0.36535589999999996,7.0,2.252872943878174,1.0
0.37615660000000006,7.0,2.4088821411132812,1.0
0.3868479,7.0,2.5642404556274414,1.0
0.39757719999999996,7.0,2.5642404556274414,1.0
0.4083083999999999,7.0,2.718937635421753,1.0
0.41912379999999994,7.0,2.8729660511016846,1.0
0.42988190000000004,7.0,2.8729660511016846,1.0
0.4406960000000002,7.0,3.0263164043426514,1.0
0.45155599999999985,7.0,3.0263164043426514,1.0
0.4622775000000001,7.0,3.178985595703125,1.0
0.4731649000000002,7.0,3.330965995788574,1.0
0.4837377999999999,7.0,3.330965995788574,1.0
0.4944951000000002,7.0,3.4822545051574707,1.0
0.5052556000000001,7.0,3.632847309112549,1.0
0.5159586999999999,7.0,3.632847309112549,1.0
0.5266862000000001,7.0,3.782740592956543,1.0
0.5375298,7.0,3.9319307804107666,1.0
0.5483021000000001,7.0,3.9319307804107666,1.0
0.5591093,7.0,4.080430030822754,1.0
0.5700561000000002,7.0,4.228291034698486,1.0
0.5807355000000001,7.0,4.228291034698486,1.0
0.5915155000000001,7.0,4.375449180603027,1.0
0.6020958999999999,7.0,4.521894931793213,1.0
0.6128348000000001,7.0,4.521894931793213,1.0
0.6236078999999999,7.0,4.66762638092041,1.0
0.6342239999999999,7.0,4.66762638092041,1.0
0.6449901,7.0,4.812643051147461,1.0
0.6557391000000001,7.0,4.956942558288574,1.0
0.6663078,7.0,4.956942558288574,1.0
0.6770759999999998,7.0,5.100522994995117,1.0
0.6878851000000001,7.0,5.2447004318237305,1.0
0.6985243999999999,7.0,5.2447004318237305,1.0
0.7092873,7.0,5.3890814781188965,1.0
0.7201934000000001,7.0,5.532107830047607,1.0
0.7308518000000002,7.0,5.532107830047607,1.0
0.7416056,7.0,5.674689769744873,1.0
0.7523068000000002,7.0,5.81633186340332,1.0
0.7630309000000002,7.0,5.81633186340332,1.0
0.7738538000000001,7.0,5.9572882652282715,1.0
0.7844822,7.0,5.9572882652282715,1.0
0.7952883999999998,7.0,6.097439289093018,1.0
0.8060242000000002,7.0,6.236842632293701,1.0
0.8167758,7.0,6.236842632293701,1.0
0.8275104000000002,7.0,6.375476360321045,1.0
0.8383312999999999,7.0,6.51335334777832,1.0
0.8489451000000001,7.0,6.51335334777832,1.0
0.8596758999999998,7.0,6.650465965270996,1.0
0.8705516999999998,7.0,6.7868194580078125,1.0
0.8812030999999998,7.0,6.7868194580078125,1.0
0.8919670999999998,7.0,6.9224162101745605,1.0
0.9026791000000001,7.0,7.05725622177124,0.9552845915177528
0.9133997999999999,7.0,7.05725622177124,0.9318482140312319
0.9241472999999998,7.0,7.191340923309326,0.8027453028167915
0.9348509,7.0,7.324668884277344,0.6200875229874838
0.9458542999999999,7.0,7.324668884277344,0.48969206701536216
0.9566302999999998,7.0,7.456995487213135,0.255016564756666
0.9672262999999999,7.0,7.456995487213135,0.07169959679767768
0.9780092,7.0,7.587924480438232,0.0
0.9889189999999999,7.0,7.716897964477539,0.0
0.9995909999999999,7.0,7.716897964477539,0.0
1.0105339000000002,7.0,7.84325647354126,0.0
1.0213946999999999,7.0,7.966291904449463,0.0
1.0320573000000002,7.0,7.966291904449463,0.0
1.0429483000000002,7.0,8.08327579498291,0.0
1.0537455,7.0,8.075143814086914,0.0
1.0644901000000002,7.0,8.075143814086914,0.0
1.0752447,7.0,8.188253402709961,0.0
1.0859748,7.0,8.180081367492676,0.0
1.0967298,7.0,8.180081367492676,0.0
1.1075590999999998,7.0,8.285069465637207,0.0
1.1181756999999999,7.0,8.329827308654785,0.0
1.1289167000000002,7.0,8.329827308654785,0.0
1.1396605,7.0,8.383706092834473,0.0
1.1502641999999998,7.0,8.383706092834473,0.0
1.1610154,7.0,8.371607780456543,0.0
1.1717926,7.0,8.367630004882812,0.0
1.1825957999999999,7.0,8.367630004882812,0.0
