x,y,curvature
-0.1829738152215368,5.540120584442972,0.007936464386154047
-0.18095906505517162,5.64086822570284,0.007936464386154047
-0.1788642155600364,5.741591960419951,0.007804440956002114
-0.1766906564889689,5.842291946492525,0.007672217351185747
-0.17443977759480736,5.942968341818786,0.007539796329824741
-0.17211296863038944,6.043621304296951,0.007407180593121827
-0.16971161934855322,6.144250991825246,0.007274372788140352
-0.16723711950213666,6.244857562301887,0.007141375512405223
-0.1646908588439778,6.345441173625101,0.007008191308053748
-0.16207422712691463,6.446001983693106,0.006874822661645098
-0.15938861410378483,6.546540150404126,0.006741272015312375
-0.1566354095274266,6.647055831656377,0.0066075417643037745
-0.15381600315067787,6.747549185348085,0.006473634252481159
-0.15093178472637658,6.848020369377473,0.006339551772401875
-0.14798414400736074,6.94846954164276,0.006205296563600514
-0.14497447074646821,7.0488968600421655,0.006070870834154563
-0.14190415469653703,7.149302482473916,0.00593627673328986
-0.13877458561040532,7.249686566836229,0.005801516375090838
-0.13558715324091064,7.350049271027328,0.005666591824795581
-0.13234324734089134,7.450390752945432,0.005531505102924108
-0.12904425766318528,7.550711170488765,0.005396258194074175
-0.1256915739606302,7.651010681555545,0.005260853040280235
-0.12228658598606432,7.751289444044,0.005125291533253771
-0.11883068349232556,7.8515476158523425,0.004989575538457082
-0.11532525623225184,7.951785354878801,0.004853706877736646
-0.11177169395868101,8.052002819021592,0.004717687332263491
-0.10817138642445133,8.152200166178945,0.004581518655589007
-0.10452572338240049,8.25237755424907,0.004445202559239037
-0.1008360945853666,8.352535141130197,0.004308740721130787
-0.09710388978618748,8.452673084720548,0.004172134782343026
-0.09333049873770137,8.552791542918337,0.004035386359598303
-0.08951731119274585,8.652890673621794,0.0038984970262680727
-0.08566571690415922,8.752970634729131,0.0037614683450255116
-0.08177710562477919,8.853031584138579,0.0036243018345719653
-0.07785286710744393,8.953073679748355,0.00348699897600292
-0.07389439110499126,9.053097079456677,0.0033495612438223326
-0.0699030673702592,9.153101941161774,0.003211990079328088
-0.06588028565608574,9.253088422761861,0.0030742868891563404
-0.06182743571530867,9.353056682155165,0.0029364530697531268
-0.05774590730076635,9.4530068772399,0.002798489983513498
-0.0536370901652963,9.552939165914298,0.002660398981568667
-0.04950237406173667,9.65285370607657,0.0025221813767563575
-0.04534314874292561,9.752750655624942,0.0023838384862078037
-0.041160803961700645,9.852630172457635,0.002245371585720063
-0.03695672947090027,9.952492414472871,0.002106781956671483
-0.032732315023362005,10.052337539568873,0.0019680708284213174
-0.028488950371923956,10.152165705643855,0.0018292394522767333
-0.02422802526942409,10.25197707059605,0.001690289053928167
-0.019950929468700505,10.351771792323673,0.0015512208317475333
-0.015659052722591008,10.451550028724942,0.0014120359932652301
-0.011353784783933528,10.551311937698088,0.0012727357191706216
-0.007036515405566208,10.65105767714132,0.0011333211593593405
-0.002708634340326814,10.75078740495287,0.0
0.0016284686589465198,10.850501279030958,0.0
0.005973403839416028,10.950199457273799,0.0
0.010324781448243406,11.049882097579621,0.0
0.014681211732591163,11.149549357846642,0.0
0.01904130493962093,11.249201395973083,0.0
0.023403671316494963,11.34883836985717,0.0
0.027766921110375275,11.44846043739712,0.0
0.032129664568423776,11.548067756491154,0.0
0.03649051193780248,11.6476604850375,0.0
0.04084807346567385,11.747238780934369,0.0
0.04520095939919937,11.84680280207999,0.0
0.04954777998554133,11.946352706372586,0.0
0.0538871454718619,12.04588865171037,0.0
0.058217666105322786,12.145410795991577,0.0
0.06253795213308633,12.244919297114413,0.0011119089698403365
0.06684661380231434,12.344414312977106,0.0012530893659543172
0.0711422613601691,12.443896001477881,0.0013943630984256862
0.07542350505381232,12.543364520514954,0.0015357289676504922
0.07968895513040634,12.642820027986549,0.001677185714544939
0.08393722183711316,12.74226268179089,0.0018187321091536351
0.08816691542109452,12.841692639826192,0.0019603668807046198
0.09237664612951278,12.94111005999068,0.0021020887290245515
0.09656502420952986,13.040515100182578,0.0022438963464808544
0.10073065990830785,13.139907918300104,0.0023857883943518973
0.10487216347300865,13.239288672241479,0.002527763526939408
0.1089881451507945,13.338657519904928,0.0026698203700402
0.11307721518882721,13.438014619188671,0.002811957517763742
0.11713798383426896,13.537360127990926,0.0029541735567539403
0.12116906133428182,13.636694204209919,0.003096467025598873
0.1251690579360277,13.736017005743866,0.0032388364194678872
0.12913658388666863,13.835328690490998,0.0033812802499869044
0.13307024943336698,13.93462941634953,0.0035237969693232988
0.13696866482328432,14.033919341217683,0.0036663849823208917
0.14083044030358294,14.133198622993678,0.0038090426912658886
0.14465418612142478,14.232467419575741,0.003951768451201668
0.148438512523972,14.331725888862085,0.004094560561924088
0.15218202975838652,14.430974188750941,0.004237417325252161
0.15588334807183044,14.530212477140525,0.0043803369754139765
0.1595410777114657,14.629440911929057,0.004523317697148165
0.1631538289244544,14.728659651014762,0.004666357654904747
